"","Time","entry","exit"
"1",2005 Q1,243,0
"1086",2005 Q2,241,0
"2171",2005 Q3,260,0
"3256",2005 Q4,232,0
"4341",2006 Q1,24,57
"5426",2006 Q2,19,57
"6511",2006 Q3,15,43
"7596",2006 Q4,24,34
"8681",2007 Q1,53,38
"9766",2007 Q2,31,21
"10851",2007 Q3,27,33
"11936",2007 Q4,26,41
"13021",2008 Q1,41,48
"14106",2008 Q2,47,29
"15191",2008 Q3,33,32
"16276",2008 Q4,32,37
"17361",2009 Q1,58,66
"18446",2009 Q2,39,38
"19531",2009 Q3,29,28
"20616",2009 Q4,55,53
"21701",2010 Q1,46,54
"22786",2010 Q2,25,47
"23871",2010 Q3,36,31
"24956",2010 Q4,38,46
"26041",2011 Q1,37,54
"27126",2011 Q2,24,78
"28211",2011 Q3,26,39
"29296",2011 Q4,21,70
"30381",2012 Q1,22,50
"31466",2012 Q2,32,36
"32551",2012 Q3,26,33
"33636",2012 Q4,24,32
"34721",2013 Q1,32,51
"35806",2013 Q2,25,35
"36891",2013 Q3,23,32
"37976",2013 Q4,15,34
"39061",2014 Q1,19,56
"40146",2014 Q2,33,39
"41231",2014 Q3,21,24
"42316",2014 Q4,15,34
"43401",2015 Q1,24,56
"44486",2015 Q2,29,38
"45571",2015 Q3,27,19
"46656",2015 Q4,15,36
"47741",2016 Q1,37,40
"48826",2016 Q2,13,33
"49911",2016 Q3,19,26
"50996",2016 Q4,18,52
"52081",2017 Q1,22,33
"53166",2017 Q2,16,27
"54251",2017 Q3,18,27
"55336",2017 Q4,12,32
"56421",2018 Q1,18,29
"57506",2018 Q2,12,30
"58591",2018 Q3,17,18
"59676",2018 Q4,8,27
"60761",2019 Q1,26,38
"61846",2019 Q2,17,33
"62931",2019 Q3,22,13
"64016",2019 Q4,16,30
"65101",2020 Q1,8,23
"66186",2020 Q2,13,30
"67271",2020 Q3,8,32
"68356",2020 Q4,11,24
"69441",2021 Q1,19,29
"70526",2021 Q2,15,14
"71611",2021 Q3,13,23
"72696",2021 Q4,6,24
"73781",2022 Q1,12,27
"74866",2022 Q2,12,40
"75951",2022 Q3,8,11
"77036",2022 Q4,8,23
