"","Time","brok_id","quartVol","act4q","act2q","entry","exit"
"1",2004-12-31 19:00:00,"00282",0,0,0,0,0
"2",2005-03-31 19:00:00,"00282",0,0,0,0,0
"3",2005-06-30 20:00:00,"00282",0,0,0,0,0
"4",2005-09-30 20:00:00,"00282",0,0,0,0,0
"5",2005-12-31 19:00:00,"00282",0,0,0,0,0
"6",2006-03-31 19:00:00,"00282",0,0,0,0,0
"7",2006-06-30 20:00:00,"00282",0,0,0,0,0
"8",2006-09-30 20:00:00,"00282",287,0,0,1,0
"9",2006-12-31 19:00:00,"00282",150,287,287,0,0
"10",2007-03-31 20:00:00,"00282",0,437,437,0,0
"11",2007-06-30 20:00:00,"00282",0,437,150,0,0
"12",2007-09-30 20:00:00,"00282",0,437,0,0,1
"13",2007-12-31 19:00:00,"00282",634750,150,0,0,0
"14",2008-03-31 20:00:00,"00282",4300,634750,634750,0,0
"15",2008-06-30 20:00:00,"00282",0,639050,639050,0,0
"16",2008-09-30 20:00:00,"00282",0,639050,4300,0,0
"17",2008-12-31 19:00:00,"00282",1237847,639050,0,0,1
"18",2009-03-31 20:00:00,"00282",2328359,1242147,1237847,0,0
"19",2009-06-30 20:00:00,"00282",2836592,3566206,3566206,0,0
"20",2009-09-30 20:00:00,"00282",5599759,6402798,5164951,0,0
"21",2009-12-31 19:00:00,"00282",3856616,12002557,8436351,0,0
"22",2010-03-31 20:00:00,"00282",3934170,14621326,9456375,0,0
"23",2010-06-30 20:00:00,"00282",3083569,16227137,7790786,0,0
"24",2010-09-30 20:00:00,"00282",642129,16474114,7017739,0,0
"25",2010-12-31 19:00:00,"00282",789538,11516484,3725698,0,0
"26",2011-03-31 20:00:00,"00282",0,8449406,1431667,0,0
"27",2011-06-30 20:00:00,"00282",0,4515236,789538,0,0
"28",2011-09-30 20:00:00,"00282",0,1431667,0,0,1
"29",2011-12-31 19:00:00,"00282",13972,789538,0,0,0
"30",2012-03-31 20:00:00,"00282",109948,13972,13972,0,0
"31",2012-06-30 20:00:00,"00282",126243,123920,123920,0,0
"32",2012-09-30 20:00:00,"00282",323148,250163,236191,0,0
"33",2012-12-31 19:00:00,"00282",18402,573311,449391,0,0
"34",2013-03-31 20:00:00,"00282",148104,577741,341550,0,0
"35",2013-06-30 20:00:00,"00282",3300,615897,166506,0,0
"36",2013-09-30 20:00:00,"00282",8108,492954,151404,0,0
"37",2013-12-31 19:00:00,"00282",2565,177914,11408,0,0
"38",2014-03-31 20:00:00,"00282",81481,162077,10673,0,0
"39",2014-06-30 20:00:00,"00282",40376,95454,84046,0,0
"40",2014-09-30 20:00:00,"00282",42948,132530,121857,0,0
"41",2014-12-31 19:00:00,"00282",7365,167370,83324,0,0
"42",2015-03-31 20:00:00,"00282",26680,172170,50313,0,0
"43",2015-06-30 20:00:00,"00282",29145,117369,34045,0,0
"44",2015-09-30 20:00:00,"00282",20900,106138,55825,0,0
"45",2015-12-31 19:00:00,"00282",20830,84090,50045,0,0
"46",2016-03-31 20:00:00,"00282",20000,97555,41730,0,0
"47",2016-06-30 20:00:00,"00282",4400,90875,40830,0,0
"48",2016-09-30 20:00:00,"00282",58664,66130,24400,0,0
"49",2016-12-31 19:00:00,"00282",26802,103894,63064,0,0
"50",2017-03-31 20:00:00,"00282",0,109866,85466,0,0
"51",2017-06-30 20:00:00,"00282",1000,89866,26802,0,0
"52",2017-09-30 20:00:00,"00282",0,86466,1000,0,0
"53",2017-12-31 19:00:00,"00282",0,27802,1000,0,0
"54",2018-03-31 20:00:00,"00282",0,1000,0,0,1
"55",2018-06-30 20:00:00,"00282",0,1000,0,0,0
"56",2018-09-30 20:00:00,"00282",0,0,0,0,0
"57",2018-12-31 19:00:00,"00282",8180,0,0,1,0
"58",2019-03-31 20:00:00,"00282",0,8180,8180,0,0
"59",2019-06-30 20:00:00,"00282",0,8180,8180,0,0
"60",2019-09-30 20:00:00,"00282",1925,8180,0,0,1
"61",2019-12-31 19:00:00,"00282",12000,10105,1925,0,0
"62",2020-03-31 20:00:00,"00282",0,13925,13925,0,0
"63",2020-06-30 20:00:00,"00282",14000,13925,12000,0,0
"64",2020-09-30 20:00:00,"00282",5607,27925,14000,0,0
"65",2020-12-31 19:00:00,"00282",0,31607,19607,0,0
"66",2021-03-31 20:00:00,"00282",0,19607,5607,0,0
"67",2021-06-30 20:00:00,"00282",0,19607,0,0,1
"68",2021-09-30 20:00:00,"00282",0,5607,0,0,0
"69",2021-12-31 19:00:00,"00282",0,0,0,0,0
"70",2022-03-31 20:00:00,"00282",0,0,0,0,0
"71",2022-06-30 20:00:00,"00282",0,0,0,0,0
"72",2022-09-30 20:00:00,"00282",0,0,0,0,0
