"","Time","numInvestors","numBrokers","trns_amountNon","trade_costNon","EPATS","trns_amountEP","trade_costEP"
"1",2005 Q1,1815,242,97478881,527380335,NA,NA,NA
"2",2005 Q2,1827,240,67815334,403135325,NA,NA,NA
"3",2005 Q3,1733,259,71755608,383960213,NA,NA,NA
"4",2005 Q4,1660,231,81392948,341445753,NA,NA,NA
"5",2006 Q1,1708,215,87406523,657048427,NA,NA,NA
"6",2006 Q2,1671,214,98368442,554471636,NA,NA,NA
"7",2006 Q3,1654,202,84045427,482500706,NA,NA,NA
"8",2006 Q4,1702,216,80184481,519462370,NA,NA,NA
"9",2007 Q1,1640,255,124750042,566111409,NA,NA,NA
"10",2007 Q2,1723,251,57163526,305199144,NA,NA,NA
"11",2007 Q3,1644,228,89816511,226710236,NA,NA,NA
"12",2007 Q4,1660,234,96098106,207816983,NA,NA,NA
"13",2008 Q1,1767,273,100586428,344325285,NA,NA,NA
"14",2008 Q2,1885,298,105833188,316000658,NA,NA,NA
"15",2008 Q3,1736,258,48254025,170452528,NA,NA,NA
"16",2008 Q4,1732,260,78176088,159878338,NA,NA,NA
"17",2009 Q1,2113,322,143508933,360584244,1,2050,2192
"18",2009 Q2,2253,325,95212223,315930129,1,-8018,7874
"19",2009 Q3,2216,315,99417320,335222764,1,-29540,38350
"20",2009 Q4,2145,318,106946904,351682815,1,-2110,7098
"21",2010 Q1,2179,360,127985118,376543999,1,-45335,49996
"22",2010 Q2,2140,356,38508446,284866518,1,-5020,5330
"23",2010 Q3,2286,353,136771309,287045678,1,-858,837
"24",2010 Q4,2034,304,99646994,225107153,1,-672,728
"25",2011 Q1,2215,339,111339662,323544123,NA,NA,NA
"26",2011 Q2,2184,304,88184305,287386893,NA,NA,NA
"27",2011 Q3,2104,286,104909438,268755869,NA,NA,NA
"28",2011 Q4,2056,278,126003342,268794897,NA,NA,NA
"29",2012 Q1,2202,279,122828650,362676597,NA,NA,NA
"30",2012 Q2,2144,299,88438390,290084458,1,-36,40
"31",2012 Q3,2147,274,122614990,285497446,1,11144,13558
"32",2012 Q4,2138,270,150974464,283387918,2,527674,567569
"33",2013 Q1,2166,299,124558770,327009619,3,1332728,1745502
"34",2013 Q2,2176,296,117883589,306754825,3,1204194,1744007
"35",2013 Q3,2066,272,111792506,268151605,3,1376189,1964356
"36",2013 Q4,2023,241,123095107,272650627,3,1353676,2288130
"37",2014 Q1,2052,265,146413512,415327468,3,560513,2094645
"38",2014 Q2,2015,286,118822994,386493043,3,1213465,2803393
"39",2014 Q3,1955,262,96236712,258212019,3,552225,1387811
"40",2014 Q4,1973,244,113357180,267130069,3,1356988,2695063
"41",2015 Q1,2077,266,159446498,500896776,3,955613,4720484
"42",2015 Q2,2089,260,106582095,323317732,3,596975,3762925
"43",2015 Q3,2315,264,167471588,362056908,3,770644,3356044
"44",2015 Q4,2296,245,183826513,386766651,3,221305,2512552
"45",2016 Q1,2333,282,114782098,421387237,3,937700,3437099
"46",2016 Q2,2318,252,127195651,452717688,3,861921,5170501
"47",2016 Q3,2261,245,159483373,369344148,3,1245612,4223922
"48",2016 Q4,2264,246,139369277,375906139,3,308509,4697881
"49",2017 Q1,2298,269,124360655,511747732,3,2451614,6919169
"50",2017 Q2,2372,250,100915364,444803861,3,1425864,5332102
"51",2017 Q3,2290,248,100458886,311091999,3,2352143,6238302
"52",2017 Q4,2179,229,116709830,307545989,3,1478610,3860785
"53",2018 Q1,2291,253,107531475,365137614,3,1073518,4926969
"54",2018 Q2,2298,239,86105503,302323905,3,806955,4227785
"55",2018 Q3,2214,234,112317594,343525877,3,279709,4788192
"56",2018 Q4,1710,195,113395795,327874188,3,-879954,5146804
"57",2019 Q1,2307,243,132753477,571430672,3,-394169,6174846
"58",2019 Q2,2308,235,110562263,604239486,3,-355547,8634054
"59",2019 Q3,2293,244,198675202,619666855,3,-1099863,8104897
"60",2019 Q4,2206,235,149514885,361013210,3,-1099611,4163611
"61",2020 Q1,2104,218,332315073,414951349,3,3735198,5444006
"62",2020 Q2,2126,222,196561600,353802987,3,1893802,6446319
"63",2020 Q3,2066,201,250327470,356148518,3,2486338,5831308
"64",2020 Q4,2115,212,140717191,376579232,3,-1623206,6456203
"65",2021 Q1,2200,228,172957619,596680101,3,-1694012,8662658
"66",2021 Q2,2130,222,136049465,434647071,3,-117184,6799074
"67",2021 Q3,2146,212,181022232,399916693,3,-128260,4899126
"68",2021 Q4,1719,172,82091037,273709831,3,-163767,6363941
"69",2022 Q1,1827,194,127739344,480414003,3,-1094150,9463826
"70",2022 Q2,1757,202,65677798,254516690,3,-324885,6166629
"71",2022 Q3,1658,183,53434422,153538024,3,-617814,2895279
"72",2022 Q4,1510,168,19517072,54270023,3,-281687,1457747
